date,genre,percentage_in_year,decade
1998,latin,0.009411764705882352,90s
1999,latin,0.020253164556962026,90s
2000,latin,0.030534351145038167,00s
2001,latin,0.021621621621621623,00s
2002,latin,0.02349869451697128,00s
2003,latin,0.0026109660574412533,00s
2004,latin,0.005305039787798408,00s
2005,latin,0.023809523809523808,00s
2006,latin,0.035398230088495575,00s
2007,latin,0.015945330296127564,00s
2008,latin,0.010395010395010396,00s
2009,latin,0.0078125,00s
2010,latin,0.0036036036036036037,10s
2011,latin,0.00528169014084507,10s
2012,latin,0.004454342984409799,10s
2013,latin,0.010482180293501049,10s
2014,latin,0.009029345372460496,10s
2015,latin,0.004158004158004158,10s
2016,latin,0.0058823529411764705,10s
2017,latin,0.014814814814814815,10s
2018,latin,0.007331378299120235,10s
2019,latin,0.018092105263157895,10s
1960,other,0.0,60s
1961,other,0.0,60s
1962,other,0.0,60s
1963,other,0.0,60s
1964,other,0.0,60s
1965,other,0.0,60s
1966,other,0.0,60s
1967,other,0.0,60s
1968,other,0.0,60s
1969,other,0.0,60s
1970,other,0.0,70s
1971,other,0.0,70s
1972,other,0.0,70s
1973,other,0.0,70s
1974,other,0.0,70s
1975,other,0.0,70s
1976,other,0.0,70s
1977,other,0.0,70s
1978,other,0.0,70s
1979,other,0.0,70s
1980,other,0.0,80s
1981,other,0.0,80s
1982,other,0.0,80s
1983,other,0.0,80s
1984,other,0.0,80s
1985,other,0.0,80s
1986,other,0.0,80s
1987,other,0.0,80s
1988,other,0.0,80s
1989,other,0.0,80s
1990,other,0.0,90s
1991,other,0.0,90s
1992,other,0.0,90s
1993,other,0.0,90s
1994,other,0.0,90s
1995,other,0.0,90s
1996,other,0.0,90s
1997,other,0.0,90s
1998,other,0.0,90s
1999,other,0.0,90s
2000,other,0.0,00s
2001,other,0.0,00s
2002,other,0.0,00s
2003,other,0.0,00s
2004,other,0.0,00s
2005,other,0.0,00s
2006,other,0.0,00s
2007,other,0.0,00s
2008,other,0.0,00s
2009,other,0.0,00s
2010,other,0.0,10s
2011,other,0.0,10s
2012,other,0.0,10s
2013,other,0.0,10s
2014,other,0.0,10s
2015,other,0.0,10s
2016,other,0.0,10s
2017,other,0.0,10s
2018,other,0.0,10s
2019,other,0.0,10s
1960,pop,0.4139194139194139,60s
1961,pop,0.39164086687306504,60s
1962,pop,0.40249609984399376,60s
1963,pop,0.46166134185303515,60s
1964,pop,0.4206008583690987,60s
1965,pop,0.4653179190751445,60s
1966,pop,0.4511691884456671,60s
1967,pop,0.43448275862068964,60s
1968,pop,0.3821752265861027,60s
1969,pop,0.3671071953010279,60s
1970,pop,0.31811023622047246,70s
1971,pop,0.2779552715654952,70s
1972,pop,0.28314238952536824,70s
1973,pop,0.3192660550458716,70s
1974,pop,0.28073394495412846,70s
1975,pop,0.2743055555555556,70s
1976,pop,0.27978339350180503,70s
1977,pop,0.2640449438202247,70s
1978,pop,0.2871287128712871,70s
1979,pop,0.3081180811808118,70s
1980,pop,0.3241106719367589,80s
1981,pop,0.2972972972972973,80s
1982,pop,0.3169291338582677,80s
1983,pop,0.3945841392649903,80s
1984,pop,0.3956262425447316,80s
1985,pop,0.3961864406779661,80s
1986,pop,0.43231441048034935,80s
1987,pop,0.4118942731277533,80s
1988,pop,0.41304347826086957,80s
1989,pop,0.420479302832244,80s
1990,pop,0.33183856502242154,90s
1991,pop,0.31497797356828194,90s
1992,pop,0.32547169811320753,90s
1993,pop,0.37438423645320196,90s
1994,pop,0.3702770780856423,90s
1995,pop,0.4461538461538462,90s
1996,pop,0.44192634560906513,90s
1997,pop,0.41818181818181815,90s
1998,pop,0.36705882352941177,90s
1999,pop,0.46582278481012657,90s
2000,pop,0.47837150127226463,00s
2001,pop,0.45135135135135135,00s
2002,pop,0.4073107049608355,00s
2003,pop,0.38903394255874674,00s
2004,pop,0.3925729442970822,00s
2005,pop,0.41904761904761906,00s
2006,pop,0.4823008849557522,00s
2007,pop,0.4988610478359909,00s
2008,pop,0.49272349272349275,00s
2009,pop,0.56640625,00s
2010,pop,0.5207207207207207,10s
2011,pop,0.4876760563380282,10s
2012,pop,0.45879732739420936,10s
2013,pop,0.4779874213836478,10s
2014,pop,0.5056433408577878,10s
2015,pop,0.48232848232848236,10s
2016,pop,0.49607843137254903,10s
2017,pop,0.40925925925925927,10s
2018,pop,0.3724340175953079,10s
2019,pop,0.36348684210526316,10s
1960,rnb,0.21794871794871795,60s
1961,rnb,0.24458204334365324,60s
1962,rnb,0.21840873634945399,60s
1963,rnb,0.2571884984025559,60s
1964,rnb,0.23319027181688126,60s
1965,rnb,0.20664739884393063,60s
1966,rnb,0.2063273727647868,60s
1967,rnb,0.21793103448275863,60s
1968,rnb,0.24471299093655588,60s
1969,rnb,0.2540381791483113,60s
1970,rnb,0.2173228346456693,70s
1971,rnb,0.21565495207667731,70s
1972,rnb,0.20949263502454993,70s
1973,rnb,0.26055045871559634,70s
1974,rnb,0.26422018348623855,70s
1975,rnb,0.203125,70s
1976,rnb,0.1931407942238267,70s
1977,rnb,0.15917602996254682,70s
1978,rnb,0.13861386138613863,70s
1979,rnb,0.11808118081180811,70s
1980,rnb,0.13636363636363635,80s
1981,rnb,0.12266112266112267,80s
1982,rnb,0.11811023622047244,80s
1983,rnb,0.13152804642166344,80s
1984,rnb,0.12524850894632206,80s
1985,rnb,0.1292372881355932,80s
1986,rnb,0.12882096069868995,80s
1987,rnb,0.11233480176211454,80s
1988,rnb,0.09130434782608696,80s
1989,rnb,0.06535947712418301,80s
1990,rnb,0.10762331838565023,90s
1991,rnb,0.11674008810572688,90s
1992,rnb,0.14150943396226415,90s
1993,rnb,0.17733990147783252,90s
1994,rnb,0.1712846347607053,90s
1995,rnb,0.19230769230769232,90s
1996,rnb,0.17847025495750707,90s
1997,rnb,0.21038961038961038,90s
1998,rnb,0.12705882352941175,90s
1999,rnb,0.17721518987341772,90s
2000,rnb,0.18829516539440203,00s
2001,rnb,0.1837837837837838,00s
2002,rnb,0.16449086161879894,00s
2003,rnb,0.13054830287206268,00s
2004,rnb,0.11671087533156499,00s
2005,rnb,0.12857142857142856,00s
2006,rnb,0.12168141592920353,00s
2007,rnb,0.11161731207289294,00s
2008,rnb,0.1288981288981289,00s
2009,rnb,0.0859375,00s
2010,rnb,0.07207207207207207,10s
2011,rnb,0.05457746478873239,10s
2012,rnb,0.05790645879732739,10s
2013,rnb,0.04821802935010482,10s
2014,rnb,0.05869074492099323,10s
2015,rnb,0.056133056133056136,10s
2016,rnb,0.11372549019607843,10s
2017,rnb,0.03333333333333333,10s
2018,rnb,0.04105571847507331,10s
2019,rnb,0.04276315789473684,10s
1960,reggae,0.0,60s
1961,reggae,0.0015479876160990713,60s
1962,reggae,0.0,60s
1963,reggae,0.0,60s
1964,reggae,0.001430615164520744,60s
1965,reggae,0.0,60s
1966,reggae,0.0,60s
1967,reggae,0.001379310344827586,60s
1968,reggae,0.0,60s
1969,reggae,0.0014684287812041115,60s
1970,reggae,0.0031496062992125984,70s
1971,reggae,0.0,70s
1972,reggae,0.0,70s
1973,reggae,0.0,70s
1974,reggae,0.0,70s
1975,reggae,0.0,70s
1976,reggae,0.0036101083032490976,70s
1977,reggae,0.0,70s
1978,reggae,0.0,70s
1979,reggae,0.0018450184501845018,70s
1980,reggae,0.0,80s
1981,reggae,0.0,80s
1982,reggae,0.001968503937007874,80s
1983,reggae,0.0038684719535783366,80s
1984,reggae,0.005964214711729622,80s
1985,reggae,0.0,80s
1986,reggae,0.0,80s
1987,reggae,0.0,80s
1988,reggae,0.006521739130434782,80s
1989,reggae,0.006535947712418301,80s
1990,reggae,0.008968609865470852,90s
1991,reggae,0.013215859030837005,90s
1992,reggae,0.0047169811320754715,90s
1993,reggae,0.019704433497536946,90s
1994,reggae,0.022670025188916875,90s
1995,reggae,0.017948717948717947,90s
1996,reggae,0.0056657223796034,90s
1997,reggae,0.012987012987012988,90s
1998,reggae,0.011764705882352941,90s
1999,reggae,0.0,90s
2000,reggae,0.0,00s
2001,reggae,0.0,00s
2002,reggae,0.0,00s
2003,reggae,0.005221932114882507,00s
